link,segment,fidelity_qubit_b_only,fidelity_full_state,latency_sec,throughput_qubits_per_sec
N0-N1,N0-R1,0.853553390593274,0.0,12,83.33333333333333
N0-N1,R1-R2,0.853553390593274,0.8535533905932737,12,83.33333333333333
N0-N1,R2-N1,0.8535400924079366,0.0,12,83.33333333333333
N0-N2,N0-R1,0.853553390593274,0.0,12,83.33333333333333
N0-N2,R1-R2,0.8535666882784472,0.0,12,83.33333333333333
N0-N2,R2-N2,0.853553390593274,0.0,12,83.33333333333333
N0-N3,N0-R1,0.8535533905932737,0.0,12,83.33333333333333
N0-N3,R1-R2,0.853553390593274,0.0,12,83.33333333333333
N0-N3,R2-N3,0.8535400924079366,0.0,12,83.33333333333333
N0-N4,N0-R1,0.853553390593274,0.8535533905932737,12,83.33333333333333
N0-N4,R1-R2,0.853553390593274,0.0,12,83.33333333333333
N0-N4,R2-N4,0.8535666882784472,0.0,12,83.33333333333333
N1-N2,N1-R1,0.8535400924079366,0.0,12,83.33333333333333
N1-N2,R1-R2,0.8535400924079366,0.8535400924079362,12,83.33333333333333
N1-N2,R2-N2,0.853553390593274,0.8535533905932737,12,83.33333333333333
N1-N3,N1-R1,0.853553390593274,0.8535533905932737,12,83.33333333333333
N1-N3,R1-R2,0.853553390593274,0.0,12,83.33333333333333
N1-N3,R2-N3,0.853553390593274,0.8535533905932737,12,83.33333333333333
N1-N4,N1-R1,0.8535666882784472,0.0,12,83.33333333333333
N1-N4,R1-R2,0.8535666882784472,0.8535666882784465,12,83.33333333333333
N1-N4,R2-N4,0.853553390593274,0.0,12,83.33333333333333
N2-N3,N2-R1,0.853553390593274,0.0,12,83.33333333333333
N2-N3,R1-R2,0.8535400924079366,0.0,12,83.33333333333333
N2-N3,R2-N3,0.853553390593274,0.8535533905932737,12,83.33333333333333
N2-N4,N2-R1,0.853553390593274,0.0,12,83.33333333333333
N2-N4,R1-R2,0.8535666882784472,0.8535666882784465,12,83.33333333333333
N2-N4,R2-N4,0.8535400924079366,0.0,12,83.33333333333333
N3-N4,N3-R1,0.8535666882784472,0.0,12,83.33333333333333
N3-N4,R1-R2,0.8535400924079366,0.8535400924079362,12,83.33333333333333
N3-N4,R2-N4,0.853553390593274,0.0,12,83.33333333333333
